Symbol,Company Name,Security Type,Security Price,Market Capitalization
KRO,Kronos Worldwide Inc,Common Stock,10.23,$1.14B
ESRT,Empire State Realty Trust Inc,Common Stock (REIT),6.705,$1.14B
ICFI,ICF International Inc,Common Stock,60.76,$1.13B
ENLC,Enlink Midstream LLC,Unit Trust Fund,2.3,$1.13B
EXPI,eXp World Holdings Inc,Common Stock,16.08,$1.12B
APPS,Digital Turbine Inc,Common Stock,13.195,$1.12B
SLP,Simulations Plus Inc,Common Stock,62.83,$1.12B
SAFT,Safety Insurance Group Inc,Common Stock,76.26,$1.12B
FRHC,Freedom Holding Corp,Common Stock,19.36,$1.12B
APHA,Aphria Inc,Common Stock,4.2918,$1.12B
MTLS,Materialise NV,Depository Receipt,23.37,$1.12B
ALG,Alamo Group Inc.,Common Stock,98.32,$1.12B
WKHS,Workhorse Group Inc,Common Stock,15.06,$1.12B
MAC,Macerich Co (The),Common Stock (REIT),8.405,$1.11B
RVLV,Revolve Group LLC,Common Stock,17.32,$1.11B
PPBI,Pacific Premier Bancorp Inc,Common Stock,19.31,$1.11B
SPAQ/U,Spartan Energy Acquisition Corp,Unit Trust Fund,17.7,$1.11B
FBP,First BanCorp (Puerto Rico),Common Stock,5.3,$1.11B
HTGC,Hercules Capital Inc,Common Stock,10.14,$1.11B
TLND,Talend SA,Depository Receipt,35.4,$1.11B
HMI,Huami Corp,Depository Receipt,17.135,$1.11B
CGEN,Compugen Ltd,Common Stock,15.97,$1.11B
FTAI,Fortress Transportation and Infrastructure Investo,Common Stock,13.29,$1.10B
BV,BrightView Holdings Inc,Common Stock,10.835,$1.10B
QIWI,QIWI plc,Depository Receipt,18.23,$1.10B
INSG,Inseego Corp,Common Stock,11.2132,$1.10B
DOMO,Domo Inc,Common Stock,35.8,$1.09B
COOP,MR Cooper Group Inc,Common Stock,12.09,$1.09B
BPMP,BP Midstream Partners LP,Unit Trust Fund,10.445,$1.09B
CLNY,Colony Capital Inc,Common Stock,2.355,$1.09B
ERJ,Embraer SA,Depository Receipt,6.0504,$1.09B
MSEX,Middlesex Water Co,Common Stock,63.515,$1.09B
SAVE,Spirit Airlines Inc,Common Stock,17.5001,$1.09B
NFH,New Frontier Health Corp,Common Stock,8.3,$1.09B
JOE,St. Joe Co (The),Common Stock,18.7,$1.09B
ARQT,Arcutis Biotherapeutics Inc,Common Stock,29.1,$1.09B
MRSN,Mersana Therapeutics Inc,Common Stock,21.765,$1.08B
OFLX,Omega Flex Inc,Common Stock,111.5,$1.08B
ARGO,Argo Group International Holdings Ltd,Common Stock,33.3,$1.08B
HLIO,Helios Technologies Inc,Common Stock,34.21,$1.08B
WPTIF,WPT Industrial Real Estate Investment Trust,Unit Trust Fund (REIT),12.94,$1.07B
FDP,Fresh Del Monte Produce Inc.,Common Stock,23.44,$1.07B
UNFI,United Natural Foods Inc,Common Stock,19.21,$1.07B
CORE,Core Mark Holding Co Inc,Common Stock,24.86,$1.07B
MMI,Marcus & Millichap Inc,Common Stock,27.49,$1.07B
PRDO,Perdoceo Education Corp,Common Stock,16.03,$1.07B
CSTM,Constellium SE,Common Stock,7.9617,$1.07B
VIVO,Meridian Bioscience Inc,Common Stock,24.03,$1.07B
HTLF,Heartland Financial USA Inc,Common Stock,30.085,$1.07B
LKFN,Lakeland Financial Corp,Common Stock,43.395,$1.07B
PRFT,Perficient Inc,Common Stock,33.82,$1.07B
UFS,Domtar Corp,Common Stock,20.73,$1.06B
PHR,Phreesia Inc,Common Stock,29.34,$1.06B
PRK,Park National Corp,Common Stock,67,$1.06B
SNEX,Stonex Group Inc,Common Stock,56.58,$1.06B
ATNX,Athenex Inc,Common Stock,12.61,$1.05B
ODP,The ODP Corporation,Common Stock,19.865,$1.05B
CXW,CoreCivic Inc,Common Stock (REIT),9.16,$1.05B
EPAC,Enerpac Tool Group Corp,Common Stock,17.69,$1.05B
MFA,MFA Financial Inc,Common Stock (REIT),2.48,$1.05B
IPOC/U,Social Capital Hedosophia Holdings Corp III,Unit Trust Fund,12.06,$1.05B
HHR,HeadHunter Group PLC,Depository Receipt,21,$1.05B
QTT,Qutoutiao Inc,Depository Receipt,3.7589,$1.05B
BTAI,BioXcel Therapeutics Inc,Common Stock,52.0001,$1.05B
ULNV,Porter Holding International Inc,Common Stock,2.06,$1.05B
KAMN,Kaman Corp,Common Stock,38.67,$1.05B
GNW,Genworth Financial Inc,Common Stock,2.075,$1.05B
BRP,Brp Group Inc,Common Stock,16.9316,$1.04B
TSLX,Sixth Street Specialty Lending Inc,Common Stock,15.845,$1.04B
FEAC/U,Flying Eagle Acquisition Corp,Unit Trust Fund,12.1,$1.04B
SFL,SFL Corp Ltd,Common Stock,9.06,$1.04B
CSII,Cardiovascular Systems Inc,Common Stock,29.235,$1.04B
MDRX,Allscripts Healthcare Solutions Inc,Common Stock,6.61,$1.04B
CCS,Century Communities Inc,Common Stock,31.6,$1.04B
AVYA,Avaya Holdings Corp,Common Stock,12.015,$1.03B
SPAQ,Spartan Energy Acquisition Corp,Common Stock,16.03,$1.03B
KALU,Kaiser Aluminum Corp,Common Stock,68.285,$1.03B
MEI,Methode Electronics Inc,Common Stock,28.13,$1.03B
AKR,Acadia Realty Trust,Common Stock (REIT),12.315,$1.03B
TBIO,Translate Bio Inc,Common Stock,17.03,$1.03B
SILV,SilverCrest Metals Inc,Common Stock,8.9997,$1.03B
SVM,Silvercorp Metals Inc,Common Stock,5.865,$1.03B
CCX/U,Churchill Capital Corp II,Unit Trust Fund,12.397,$1.03B
IRT,Independence Realty Trust Inc,Common Stock (REIT),10.88,$1.03B
CRS,Carpenter Technology Corp,Common Stock,22.56,$1.02B
SYKE,Sykes Enterprises Inc,Common Stock,25.7,$1.02B
ENTA,Enanta Pharmaceuticals Inc,Common Stock,51.26,$1.02B
DRQ,Dril-Quip Inc.,Common Stock,29.91,$1.02B
CVGW,Calavo Growers Inc,Common Stock,59.08,$1.02B
SVC,Service Properties Trust,Common Stock (REIT),6.32,$1.02B
BSIG,Brightsphere Investment Group Inc,Common Stock,12.675,$1.01B
USAC,USA Compression Partners LP,Unit Trust Fund,10.46,$1.01B
MBUU,Malibu Boats Inc,Common Stock,50.72,$1.01B
MGY,Magnolia Oil & Gas Corp,Common Stock,6.32,$1.01B
HOPE,Hope Bancorp Inc,Common Stock,8.568,$1.01B
AIMT,Aimmune Therapeutics Inc,Common Stock,15.75,$1.01B
UVV,Universal Corp,Common Stock,40.99,$1.00B
WDR,Waddell & Reed Financial Inc.,Common Stock,15.4,$1.00B
